Specimen,Shoe_Brand,Model,Iteration,New_SA,New_Stack_Height,Gender,Looks,Color
S01,New Balance,Vongo,,18.9,36.1,,,
S02,Hoka,Clifton,9,20.4,32.7,,,
S03,Hoka,Clifton,9,20.4,32.7,,,
S04,Nike,Streakfly,,16.4,27,,,
,,,,,,,,
S06,Nike,Streakfly,,16.4,27,,,
,,,,,,,,
S08,Nike,Vaporfly,3,16.8,37.1,,,
S09,Nike,React Infinity Run FK,3,15,30,,,
S10,Asics,Novablast,5,13,40.9,,,
S11,,,,,,,,
S12,Nike,Pegasus,40,17.6,30.2,,,
S13,Nike,Pegasus,,,,,,
S14,Nike,Pegasus,40,17.6,30.2,,,
S15,Nike,React,,17.3,31.4,,,
,,,,,,,,
S17,Nike,Invincible Run,3,14.5,35.2,,,
,,,,,,,,
S19,Nike,Alphafly,2,19.1,38.6,,,
S20,Nike,Vaporfly,,19,38.6,,,
S21,Brooks,Ghost,16,21.6,35.1,,,
S22,Brooks,Ghost,16,21.6,35.1,,,
,,,,,,,,
S24,New Balance,880,14,15.6,33,,,
,,,,,,,,
S26,New Balance,880,14,15.6,33,,,
